Folder,Sample,Channel,Background_Value
a,UT3,V763-A,129.3999939
a,UT3,V763-H,340.3999939
a,UT3,B525-A,1518.199951
a,UT3,B525-H,1545.900024
a,UT3,Time,188626
a,UT5,FSC-A,487046.9063
a,UT5,FSC-H,475686.8125
a,UT5,FSC-Width,1008.981628
a,UT5,SSC-A,188208.0938
a,UT5,SSC-H,170992
a,UT5,B610-A,1062.800049
a,UT5,B610-H,1099.400024
a,UT5,B690-A,180.8000031
a,UT5,B690-H,284.2000122
a,UT5,Y585-A,1363.599976
a,UT5,Y585-H,1837.400024
a,UT5,Y610-A,42.70000076
a,UT5,Y610-H,357.3999939
a,UT5,Y675-A,39.59999847
a,UT5,Y675-H,247.6999969
a,UT5,Y710-A,34.09999847
a,UT5,Y710-H,242.6999969
a,UT5,Y763-A,25.79999924
a,UT5,Y763-H,238.6000061
a,UT5,R660-A,31.20000076
a,UT5,R660-H,235.5
a,UT5,R712-A,40.09999847
a,UT5,R712-H,235.6999969
a,UT5,R763-A,5.099999905
a,UT5,R763-H,404.3999939
a,UT5,V450-A,1271.400024
a,UT5,V450-H,1657.699951
a,UT5,V525-A,313.3999939
a,UT5,V525-H,490.3999939
a,UT5,V610-A,336.7999878
a,UT5,V610-H,521.4000244
a,UT5,V660-A,84.90000153
a,UT5,V660-H,226.1000061
a,UT5,V763-A,129.3999939
a,UT5,V763-H,340.3999939
a,UT5,B525-A,1518.199951
a,UT5,B525-H,1545.900024
a,UT5,Time,188626
b,UO4,FSC-A,653146.5
b,UO4,FSC-H,576131.625
b,UO4,FSC-Width,1075.245117
b,UO4,SSC-A,217559.5
b,UO4,SSC-H,202358
b,UO4,B610-A,1001.099976
b,UO4,B610-H,1501.900024
b,UO4,B690-A,200.6000061
b,UO4,B690-H,374.1000061
b,UO4,Y585-A,1753.300049
b,UO4,Y585-H,2690.600098
b,UO4,Y610-A,77.80000305
b,UO4,Y610-H,390.8999939
b,UO4,Y675-A,114
b,UO4,Y675-H,309.2999878
b,UO4,Y710-A,102
b,UO4,Y710-H,296.7999878
b,UO4,Y763-A,70.90000153
b,UO4,Y763-H,275.8999939
b,UO4,R660-A,486.7999878
b,UO4,R660-H,775.7999878
b,UO4,R712-A,503
b,UO4,R712-H,793.4000244
b,UO4,R763-A,28.5
b,UO4,R763-H,442.7000122
b,UO4,V450-A,885.4000244
b,UO4,V450-H,1755.699951
b,UO4,V525-A,225.3000031
b,UO4,V525-H,497.8999939
b,UO4,V610-A,270.1000061
b,UO4,V610-H,571.2000122
b,UO4,V660-A,96.40000153
b,UO4,V660-H,259.7000122
b,UO4,V763-A,184.8999939
b,UO4,V763-H,461.2999878
b,UO4,B525-A,1085.699951
b,UO4,B525-H,1635.400024
b,UO4,Time,323044
b,UO6,FSC-A,653146.5
b,UO6,FSC-H,576131.625
b,UO6,FSC-Width,1075.245117
b,UO6,SSC-A,217559.5
b,UO6,SSC-H,202358
b,UO6,B610-A,1001.099976
b,UO6,B610-H,1501.900024
b,UO6,B690-A,200.6000061
b,UO6,B690-H,374.1000061
b,UO6,Y585-A,1753.300049
b,UO6,Y585-H,2690.600098
b,UO6,Y610-A,77.80000305
